
2019-05-23 11:20:43 | Socket numero: 26 | Connessione interrotta

2019-05-23 11:20:43 | Socket numero: 29 | Nuova connessione accettata
2019-05-23 11:20:43 | Socket numero: 28 | Connessione interrotta

2019-05-23 11:20:43 | Socket numero: 30 | Nuova connessione accettata
2019-05-23 11:20:43 | Socket numero: 24 | Connessione interrotta

2019-05-23 11:20:43 | Socket numero: 19 | Nuova connessione accettata
2019-05-23 11:20:43 | Socket numero: 29 | Connessione interrotta

2019-05-23 11:20:43 | Socket numero: 28 | Nuova connessione accettata
2019-05-23 11:20:43 | Socket numero: 28 | Connessione interrotta
2019-05-23 11:20:43 | Socket numero: 25 | Connessione interrotta

2019-05-23 11:20:43 | Socket numero: 26 | Nuova connessione accettata

2019-05-23 11:20:43 | Socket numero: 20 | Nuova connessione accettata
2019-05-23 11:20:43 | Socket numero: 31 | Connessione interrotta

2019-05-23 11:20:43 | Socket numero: 24 | Nuova connessione accettata
2019-05-23 11:20:43 | Socket numero: 33 | Connessione interrotta

2019-05-23 11:20:43 | Socket numero: 28 | Nuova connessione accettata
2019-05-23 11:20:44 | Socket numero: 27 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 28 | Connessione interrotta

2019-05-23 11:20:44 | Socket numero: 33 | Nuova connessione accettata

2019-05-23 11:20:44 | Socket numero: 25 | Nuova connessione accettata
2019-05-23 11:20:44 | Socket numero: 33 | Connessione interrotta

2019-05-23 11:20:44 | Socket numero: 27 | Nuova connessione accettata
2019-05-23 11:20:44 | Socket numero: 21 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 22 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 25 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 20 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 15 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 19 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 27 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 30 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 24 | Connessione interrotta
2019-05-23 11:20:44 | Socket numero: 26 | Connessione interrotta

2019-05-23 11:20:52 | Socket numero: 29 | Nuova connessione accettata

